
SPDR S&P 500 ETF Trust,Last: 499.72,Change:  4.56
"Date: April 22, 2024 at 7:00 PM EDT",Bid: 499.61,Ask: 499.64,Size: 11*11,"Volume: 67,851,330"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri May 03 2024,SPY240503C00400000,103.18,0,99.95,100.33,0,0,0.997,0.0003,4,400.00,SPY240503P00400000,0.04,-0.075,0.04,0.05,1334,0.4861,-0.0038,0.0003,76367
Fri May 03 2024,SPY240503C00405000,0,0,94.96,95.35,0,0,0.9964,0.0003,0,405.00,SPY240503P00405000,0.05,-0.075,0.05,0.06,2005,0.4714,-0.0043,0.0003,1296
Fri May 03 2024,SPY240503C00410000,92.76,0,89.97,90.36,0,0,0.9958,0.0004,1,410.00,SPY240503P00410000,0.05,-0.085,0.05,0.06,1404,0.4466,-0.005,0.0004,2527
Fri May 03 2024,SPY240503C00415000,82.91,0,85,85.38,0,0,0.9951,0.0004,25,415.00,SPY240503P00415000,0.09,-0.065,0.06,0.07,2,0.4299,-0.0057,0.0004,197
Fri May 03 2024,SPY240503C00420000,0,0,80.02,80.4,0,0.3006,0.9943,0.0005,0,420.00,SPY240503P00420000,0.07,-0.095,0.06,0.07,36,0.4051,-0.0065,0.0005,508
Fri May 03 2024,SPY240503C00425000,81.85,0,75.03,75.42,0,0.3171,0.9934,0.0006,1,425.00,SPY240503P00425000,0.08,-0.105,0.07,0.08,450,0.3868,-0.0074,0.0006,884
Fri May 03 2024,SPY240503C00430000,73.22,7.625,70.05,70.43,10,0.312,0.9922,0.0007,2,430.00,SPY240503P00430000,0.09,-0.115,0.08,0.09,144,0.3675,-0.0085,0.0007,153631
Fri May 03 2024,SPY240503C00435000,72.21,0,65.07,65.45,0,0.3062,0.9909,0.0009,2,435.00,SPY240503P00435000,0.1,-0.135,0.09,0.1,563,0.3474,-0.0099,0.0009,16029
Fri May 03 2024,SPY240503C00440000,60.17,4.49,60.1,60.47,12,0.3013,0.9893,0.001,507,440.00,SPY240503P00440000,0.11,-0.155,0.1,0.11,72,0.3264,-0.0115,0.001,782
Fri May 03 2024,SPY240503C00445000,52,0,55.12,55.5,0,0.2848,0.9873,0.0013,13,445.00,SPY240503P00445000,0.12,-0.185,0.11,0.12,269,0.3048,-0.0135,0.0013,278
Fri May 03 2024,SPY240503C00450000,53.31,7.505,50.15,50.53,19,0.2707,0.9846,0.0016,25,450.00,SPY240503P00450000,0.13,-0.235,0.13,0.14,803,0.2857,-0.0162,0.0016,6814
Fri May 03 2024,SPY240503C00455000,45.54,4.64,45.19,45.56,10,0.2567,0.9809,0.0021,25,455.00,SPY240503P00455000,0.16,-0.295,0.16,0.17,387,0.2675,-0.0199,0.0021,1296
Fri May 03 2024,SPY240503C00460000,36.7,0,40.24,40.61,0,0.2405,0.9755,0.0027,501,460.00,SPY240503P00460000,0.2,-0.385,0.2,0.21,3351,0.2495,-0.0254,0.0027,77319
Fri May 03 2024,SPY240503C00465000,33.7,0,35.3,35.68,0,0.225,0.9672,0.0037,19,465.00,SPY240503P00465000,0.26,-0.52,0.26,0.27,1309,0.2322,-0.0337,0.0037,10037
Fri May 03 2024,SPY240503C00470000,30.89,4.32,30.53,30.71,16,0.2143,0.9538,0.0052,24,470.00,SPY240503P00470000,0.36,-0.71,0.36,0.37,8967,0.2168,-0.0472,0.0052,12376
Fri May 03 2024,SPY240503C00475000,24.15,2.125,25.71,25.89,3,0.2016,0.9319,0.0075,26,475.00,SPY240503P00475000,0.53,-0.99,0.53,0.54,4923,0.203,-0.0693,0.0076,20186
Fri May 03 2024,SPY240503C00480000,21.02,3.295,21.03,21.19,39,0.191,0.8962,0.0109,237,480.00,SPY240503P00480000,0.83,-1.365,0.83,0.84,5986,0.1916,-0.1056,0.011,10312
Fri May 03 2024,SPY240503C00481000,0,0,20.11,20.27,0,0.1888,0.8869,0.0117,0,481.00,SPY240503P00481000,0.91,-1.465,0.91,0.93,639,0.1898,-0.1148,0.0118,240
Fri May 03 2024,SPY240503C00482000,17.77,1.7,19.2,19.36,1,0.1868,0.8767,0.0125,1,482.00,SPY240503P00482000,1,-1.545,1,1.02,1739,0.1878,-0.1251,0.0127,537
Fri May 03 2024,SPY240503C00483000,0,0,18.31,18.47,0,0.1854,0.8657,0.0134,0,483.00,SPY240503P00483000,1.11,-1.64,1.1,1.12,978,0.1857,-0.1364,0.0136,322
Fri May 03 2024,SPY240503C00484000,17.31,2.83,17.42,17.58,20,0.1834,0.8536,0.0144,20,484.00,SPY240503P00484000,1.23,-1.735,1.21,1.23,995,0.1837,-0.1486,0.0146,8744
Fri May 03 2024,SPY240503C00485000,18.88,5.165,16.55,16.7,2,0.1817,0.8406,0.0154,65,485.00,SPY240503P00485000,1.35,-1.845,1.34,1.35,3656,0.1818,-0.1616,0.0156,36551
Fri May 03 2024,SPY240503C00486000,16.02,3.075,15.69,15.84,23,0.18,0.8266,0.0164,11,486.00,SPY240503P00486000,1.46,-1.985,1.47,1.49,525,0.1802,-0.1759,0.0166,280
Fri May 03 2024,SPY240503C00487000,12.8,0.58,14.84,14.99,47,0.1783,0.8114,0.0174,1,487.00,SPY240503P00487000,1.64,-2.065,1.63,1.64,529,0.1784,-0.1913,0.0177,153
Fri May 03 2024,SPY240503C00488000,13.39,1.89,14.02,14.15,1,0.1768,0.7952,0.0185,4,488.00,SPY240503P00488000,1.85,-2.125,1.79,1.81,802,0.177,-0.2077,0.0188,762
Fri May 03 2024,SPY240503C00489000,15.25,4.44,13.21,13.33,6,0.1751,0.7778,0.0196,12,489.00,SPY240503P00489000,1.99,-2.285,1.98,2,947,0.1754,-0.2259,0.0199,4790
Fri May 03 2024,SPY240503C00490000,12.45,2.35,12.42,12.53,291,0.1742,0.7594,0.0206,325,490.00,SPY240503P00490000,2.2,-2.405,2.18,2.2,6146,0.1738,-0.2443,0.021,39129
Fri May 03 2024,SPY240503C00491000,11.91,2.47,11.63,11.74,16,0.1721,0.7396,0.0217,40,491.00,SPY240503P00491000,2.46,-2.475,2.4,2.42,518,0.1722,-0.2645,0.0221,1429
Fri May 03 2024,SPY240503C00492000,12.39,3.575,10.88,10.98,153,0.1706,0.7187,0.0228,160,492.00,SPY240503P00492000,2.66,-2.635,2.64,2.66,595,0.1707,-0.2858,0.0232,1401
